Date,Date,Capacity percent change,World GDP Change,WTI Real Price (GDP Deflated)
1Q 2001,2001,1.02,3.4,35.03
2Q 2001,2001,0.92,2.6,33.77
3Q 2001,2001,1.2,2.1,32.19
4Q 2001,2001,1.35,1.8,24.6
1Q 2002,2002,1.27,2.19,25.93
2Q 2002,2002,2.1,2.71,31.35
3Q 2002,2002,0.93,3.26,33.62
4Q 2002,2002,-0.09,3.33,33.41
1Q 2003,2003,-0.02,3.35,39.98
2Q 2003,2003,-2.1,3.11,33.93
3Q 2003,2003,0.5,3.96,35.19
4Q 2003,2003,3.07,4.74,36.13
1Q 2004,2004,3.56,5.75,40.58
2Q 2004,2004,5.25,6.06,43.65
3Q 2004,2004,2.93,5.33,49.62
4Q 2004,2004,1.17,5.06,54.11
1Q 2005,2005,1.19,4.67,55.57
2Q 2005,2005,2.06,4.65,58.72
3Q 2005,2005,1.19,4.82,69.36
4Q 2005,2005,0.51,4.99,65.23
1Q 2006,2006,-0,5.34,68.3
2Q 2006,2006,-0.65,5.31,75.4
3Q 2006,2006,1.36,5.11,74.97
4Q 2006,2006,1.19,5.22,63.46
1Q 2007,2007,0.81,5.08,60.82
2Q 2007,2007,1.02,5.18,67.65
3Q 2007,2007,-0.2,5.33,78.07
4Q 2007,2007,0.65,5.07,93.62
1Q 2008,2008,0.78,4.46,100.56
2Q 2008,2008,0.58,3.67,126.63
3Q 2008,2008,0.4,2.46,120.2
4Q 2008,2008,0.14,-0.29,59.52
1Q 2009,2009,-0.19,-2.24,43.65
2Q 2009,2009,0.38,-2.06,60.41
3Q 2009,2009,2.35,-0.98,68.99
4Q 2009,2009,3.12,1.92,76.79
1Q 2010,2010,3.69,4.48,79.36
2Q 2010,2010,3.84,5.2,78.01
3Q 2010,2010,2.1,5.12,75.9
4Q 2010,2010,1.43,4.88,84.61
1Q 2011,2011,0.44,4.38,92.98
2Q 2011,2011,-1.72,3.6,100.1
3Q 2011,2011,-1.21,3.5,87.3
4Q 2011,2011,-0.75,3.05,91.65
1Q 2012,2012,0.35,3.19,99.75
2Q 2012,2012,1.37,3.03,90
3Q 2012,2012,0.81,2.58,88.39
4Q 2012,2012,0.68,2.36,84.1
1Q 2013,2013,-0.19,2.21,89.81
2Q 2013,2013,0.98,2.47,89.34
3Q 2013,2013,1.2,2.77,100.02
4Q 2013,2013,0.62,3.07,91.66
1Q 2014,2014,1.72,2.86,92.37
2Q 2014,2014,1.84,2.81,96.23
3Q 2014,2014,3.06,2.74,90.74
4Q 2014,2014,4.08,2.72,67.79
1Q 2015,2015,3.06,2.8,44.9
2Q 2015,2015,2.48,2.63,53.28
3Q 2015,2015,2.01,2.45,42.74
4Q 2015,2015,0.89,2.2,38.42
1Q 2016,2016,0.68,2.07,30.51
2Q 2016,2016,-0.4,2.13,41.36
3Q 2016,2016,-0.91,2.13,40.62
4Q 2016,2016,0.14,2.32,42.53
1Q 2017,2017,0.2,2.46,42.05
2Q 2017,2017,1.7,2.56,42.75
3Q 2017,2017,1.43,2.75,45.14
4Q 2017,2017,0.67,2.73,47.22
