FORMULA,LABEL,UNITS,199701,199702,199703,199704,199705,199706,199707,199708,199709,199710,199711,199712,199801,199802,199803,199804,199805,199806,199807,199808,199809,199810,199811,199812,199901,199902,199903,199904,199905,199906,199907,199908,199909,199910,199911,199912,200001,200002,200003,200004,200005,200006,200007,200008,200009,200010,200011,200012,200101,200102,200103,200104,200105,200106,200107,200108,200109,200110,200111,200112,200201,200202,200203,200204,200205,200206,200207,200208,200209,200210,200211,200212,200301,200302,200303,200304,200305,200306,200307,200308,200309,200310,200311,200312,200401,200402,200403,200404,200405,200406,200407,200408,200409,200410,200411,200412,200501,200502,200503,200504,200505,200506,200507,200508,200509,200510,200511,200512,200601,200602,200603,200604,200605,200606,200607,200608,200609,200610,200611,200612,200701,200702,200703,200704,200705,200706,200707,200708,200709,200710,200711,200712,200801,200802,200803,200804,200805,200806,200807,200808,200809,200810,200811,200812,200901,200902,200903,200904,200905,200906,200907,200908,200909,200910,200911,200912,201001,201002,201003,201004,201005,201006,201007,201008,201009,201010,201011,201012,201101,201102,201103,201104,201105,201106,201107,201108,201109,201110,201111,201112,201201,201202,201203,201204,201205,201206,201207,201208,201209,201210,201211,201212,201301,201302,201303,201304,201305,201306,201307,201308,201309,201310,201311,201312,201401,201402,201403,201404,201405,201406,201407,201408,201409,201410,201411,201412,201501,201502,201503,201504,201505,201506,201507,201508,201509,201510,201511,201512,201601,201602,201603,201604,201605,201606,201607,201608,201609,201610,201611,201612,201701,201702,201703,201704,201705,201706,201707,201708,201709,201710,201711,201712
,Crude Oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COPR_AG,Algeria,million barrels per day,0.83,0.84,0.85,0.85,0.85,0.83,0.85,0.85,0.85,0.85,0.85,0.86,0.86,0.86,0.86,0.84,0.82,0.81,0.80,0.79,0.79,0.79,0.79,0.79,0.80,0.81,0.82,0.78,0.76,0.75,0.75,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.80,0.81,0.82,0.82,0.83,0.82,0.84,0.83,0.85,0.89,0.86,0.86,0.84,0.86,0.88,0.89,0.89,0.86,0.84,0.85,0.85,0.88,0.87,0.89,0.91,0.94,0.95,0.97,0.98,1.02,1.07,1.06,1.13,1.04,1.05,1.11,1.20,1.20,1.18,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.22,1.25,1.25,1.25,1.25,1.28,1.28,1.30,1.31,1.33,1.33,1.33,1.36,1.36,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.34,1.35,1.36,1.36,1.39,1.39,1.36,1.36,1.36,1.36,1.36,1.36,1.36,1.37,1.37,1.37,1.38,1.39,1.40,1.40,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.30,1.30,1.30,1.30,1.30,1.30,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.10,1.20,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.05,1.05,1.05,1.05,1.05,1.03,1.05,1.05,1.05,1.05,99999999999.00,99999999999.00,99999999999.00,99999999999.00,99999999999.00,99999999999.00,99999999999.00,99999999999.00,99999999999.00,99999999999.00,99999999999.00,99999999999.00,99999999999.00,99999999999.00
COPR_AO,Angola,million barrels per day,0.69,0.71,0.71,0.71,0.71,0.70,0.71,0.71,0.71,0.72,0.72,0.74,0.73,0.73,0.73,0.71,0.71,0.71,0.71,0.73,0.73,0.77,0.77,0.79,0.76,0.76,0.77,0.75,0.73,0.73,0.72,0.73,0.74,0.75,0.75,0.75,0.76,0.76,0.76,0.75,0.76,0.75,0.75,0.76,0.74,0.72,0.72,0.72,0.75,0.75,0.73,0.74,0.73,0.73,0.71,0.70,0.71,0.75,0.79,0.82,0.91,0.95,0.94,0.94,0.93,0.90,0.87,0.91,0.89,0.90,0.81,0.82,0.82,0.82,0.85,0.91,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.98,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.05,1.07,1.09,1.10,1.10,1.11,1.12,1.13,1.14,1.16,1.15,1.19,1.33,1.36,1.32,1.36,1.37,1.38,1.38,1.38,1.38,1.28,1.25,1.42,1.42,1.40,1.34,1.41,1.44,1.54,1.56,1.60,1.64,1.65,1.63,1.65,1.66,1.71,1.80,1.85,1.90,1.90,1.91,1.91,1.92,1.93,1.92,1.92,1.85,1.78,1.90,1.90,1.85,1.82,1.75,1.75,1.75,1.75,1.75,1.80,1.86,1.86,1.90,1.90,1.90,1.95,1.97,1.98,1.98,1.94,1.89,1.88,1.80,1.70,1.70,1.70,1.70,1.70,1.70,1.70,1.65,1.55,1.60,1.65,1.70,1.75,1.70,1.85,1.80,1.80,1.85,1.70,1.80,1.75,1.70,1.65,1.75,1.65,1.70,1.68,1.70,1.75,1.70,1.80,1.76,1.80,1.78,1.70,1.68,1.72,1.71,1.73,1.75,1.60,1.67,1.61,1.68,1.62,1.60,1.65,1.75,1.76,1.78,1.75,1.67,1.80,1.75,1.70,1.77,1.75,1.80,1.83,1.85,1.78,1.75,1.80,1.80,1.78,1.77,1.78,1.77,1.80,1.80,1.81,1.81,1.77,1.71,99999999999.00,99999999999.00,99999999999.00,99999999999.00,99999999999.00,99999999999.00,99999999999.00,99999999999.00,99999999999.00,99999999999.00,99999999999.00,99999999999.00,99999999999.00,99999999999.00
COPR_EC,Ecuador,million barrels per day,0.39,0.39,0.39,0.40,0.39,0.37,0.37,0.38,0.40,0.39,0.40,0.40,0.39,0.38,0.38,0.38,0.38,0.38,0.33,0.38,0.38,0.39,0.38,0.37,0.37,0.38,0.35,0.35,0.37,0.37,0.36,0.38,0.38,0.39,0.38,0.39,0.39,0.39,0.39,0.38,0.37,0.37,0.40,0.41,0.42,0.42,0.41,0.38,0.42,0.41,0.42,0.42,0.42,0.42,0.41,0.41,0.40,0.40,0.40,0.40,0.39,0.38,0.39,0.39,0.39,0.39,0.40,0.40,0.41,0.39,0.39,0.39,0.39,0.38,0.37,0.39,0.33,0.36,0.38,0.38,0.48,0.48,0.50,0.52,0.50,0.53,0.51,0.53,0.54,0.53,0.53,0.53,0.53,0.54,0.53,0.53,0.53,0.54,0.53,0.52,0.53,0.55,0.55,0.48,0.54,0.53,0.54,0.56,0.55,0.55,0.53,0.55,0.55,0.54,0.54,0.54,0.53,0.52,0.51,0.52,0.52,0.51,0.48,0.50,0.51,0.51,0.51,0.51,0.52,0.51,0.52,0.53,0.52,0.52,0.51,0.51,0.50,0.49,0.50,0.50,0.50,0.50,0.50,0.51,0.50,0.50,0.50,0.50,0.49,0.49,0.48,0.48,0.48,0.47,0.48,0.47,0.46,0.47,0.48,0.48,0.48,0.49,0.49,0.48,0.49,0.50,0.51,0.50,0.50,0.51,0.50,0.50,0.50,0.49,0.49,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.51,0.51,0.51,0.50,0.50,0.50,0.51,0.51,0.50,0.52,0.52,0.52,0.53,0.54,0.54,0.54,0.54,0.55,0.55,0.55,0.56,0.56,0.55,0.56,0.56,0.56,0.55,0.56,0.56,0.56,0.56,0.55,0.55,0.55,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.53,0.53,0.54,0.55,0.56,0.56,0.55,0.55,0.55,0.56,0.56,99999999999.00,99999999999.00,99999999999.00,99999999999.00,99999999999.00,99999999999.00,99999999999.00,99999999999.00,99999999999.00,99999999999.00,99999999999.00,99999999999.00,99999999999.00,99999999999.00
COPR_GB,Gabon,million barrles per day,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.36,0.37,0.37,0.36,0.35,0.36,0.36,0.36,0.36,0.36,0.35,0.35,0.34,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.32,0.33,0.33,0.34,0.33,0.33,0.33,0.33,0.33,0.32,0.31,0.31,0.31,0.30,0.29,0.29,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.24,0.24,0.24,0.24,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.24,0.24,0.23,0.28,0.27,0.26,0.27,0.27,0.26,0.26,0.27,0.27,0.26,0.26,0.26,0.25,0.24,0.24,0.24,0.25,0.24,0.23,0.24,0.24,0.23,0.22,0.22,0.24,0.24,0.24,0.24,0.25,0.25,0.25,0.25,0.24,0.25,0.25,0.25,0.25,0.25,0.23,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.24,0.24,0.24,0.22,0.24,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.20,0.25,0.25,0.24,0.24,0.25,0.25,0.25,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.20,0.20,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,99999999999.00,99999999999.00,99999999999.00,99999999999.00,99999999999.00,99999999999.00,99999999999.00,99999999999.00,99999999999.00,99999999999.00,99999999999.00,99999999999.00,99999999999.00,99999999999.00
COPR_ID,Indonesia,million barrels per day,1.38,1.40,1.41,1.37,1.39,1.34,1.34,1.34,1.30,1.30,1.35,1.35,1.34,1.34,1.34,1.34,1.34,1.31,1.31,1.33,1.33,1.36,1.36,1.36,1.36,1.34,1.35,1.35,1.35,1.33,1.31,1.30,1.30,1.30,1.30,1.30,1.28,1.25,1.25,1.28,1.31,1.31,1.31,1.31,1.31,1.28,1.27,1.28,1.25,1.25,1.23,1.20,1.21,1.23,1.21,1.20,1.19,1.18,1.18,1.15,1.16,1.13,1.13,1.12,1.12,1.12,1.11,1.11,1.11,1.11,1.10,1.08,1.08,1.07,1.05,1.03,1.02,1.01,1.01,1.00,1.00,0.99,0.99,0.99,0.98,0.98,0.97,0.97,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.97,0.93,0.93,0.94,0.93,0.93,0.92,0.92,0.92,0.92,0.90,0.91,0.90,0.88,0.89,0.89,0.88,0.89,0.88,0.87,0.88,0.87,0.86,0.86,0.86,0.83,0.84,0.84,0.84,0.84,0.83,0.83,0.83,0.83,0.81,0.82,0.82,0.86,0.87,0.87,0.86,0.86,0.86,0.85,0.86,0.85,0.84,0.84,0.84,0.83,0.85,0.84,0.82,0.82,0.82,0.82,0.81,0.82,0.82,0.82,0.83,0.82,0.84,0.84,0.84,0.85,0.84,0.82,0.84,0.83,0.78,0.81,0.79,0.79,0.79,0.80,0.79,0.80,0.79,0.80,0.80,0.80,0.79,0.79,0.79,0.78,0.78,0.78,0.77,0.78,0.77,0.76,0.76,0.76,0.75,0.74,0.74,0.80,0.73,0.73,0.74,0.74,0.73,0.72,0.71,0.71,0.71,0.70,0.70,0.70,0.70,0.69,0.70,0.70,0.69,0.69,0.69,0.68,0.67,0.68,0.68,0.67,0.67,0.67,0.68,0.69,0.69,0.69,0.68,0.69,0.69,0.69,0.69,0.71,0.73,0.74,0.74,0.74,0.76,0.75,0.75,0.74,0.74,99999999999.00,99999999999.00,99999999999.00,99999999999.00,99999999999.00,99999999999.00,99999999999.00,99999999999.00,99999999999.00,99999999999.00,99999999999.00,99999999999.00,99999999999.00,99999999999.00
COPR_IR,Iran,million barrels per day,3.65,3.65,3.65,3.65,3.60,3.70,3.65,3.65,3.45,3.60,3.65,3.65,3.60,3.60,3.60,3.80,3.60,3.80,3.55,3.40,3.65,3.45,3.60,3.55,3.63,3.89,3.76,3.45,3.40,3.38,3.48,3.50,3.45,3.50,3.45,3.40,3.41,3.47,3.68,3.62,3.63,3.65,3.69,3.69,3.70,3.78,3.77,3.85,3.90,3.75,3.80,3.75,3.65,3.75,3.84,3.75,3.62,3.50,3.50,3.46,3.35,3.33,3.35,3.34,3.36,3.38,3.39,3.40,3.45,3.50,3.50,3.55,3.59,3.66,3.69,3.68,3.68,3.68,3.71,3.71,3.71,3.71,3.76,3.86,3.90,3.90,3.90,3.90,3.90,3.90,3.90,3.90,3.90,3.90,3.90,3.90,3.90,3.90,3.90,3.90,3.90,4.00,4.00,4.00,3.95,3.95,3.95,3.90,3.90,3.85,3.80,3.80,3.75,3.75,3.75,3.75,3.75,3.75,3.70,3.70,3.70,3.70,3.70,3.70,3.70,3.70,3.70,3.70,3.70,3.70,3.70,3.70,3.80,3.80,3.80,3.80,3.80,3.80,3.90,3.90,3.90,3.90,3.90,3.90,3.80,3.75,3.75,3.80,3.80,3.80,3.80,3.80,3.80,3.80,3.80,3.80,3.80,3.80,3.80,3.80,3.80,3.80,3.70,3.70,3.70,3.70,3.70,3.70,3.70,3.70,3.70,3.70,3.70,3.70,3.65,3.65,3.65,3.60,3.60,3.55,3.45,3.40,3.35,3.20,3.13,2.95,2.80,2.75,2.75,2.70,2.70,2.68,2.68,2.68,2.68,2.68,2.68,2.68,2.68,2.68,2.68,2.68,2.68,2.70,2.80,2.80,2.80,2.80,2.80,2.80,2.80,2.80,2.80,2.80,2.80,2.80,2.80,2.80,2.80,2.80,2.80,2.80,2.80,2.80,2.80,2.80,2.80,2.80,2.85,3.05,3.20,3.50,3.60,3.62,3.63,3.65,3.66,3.68,99999999999.00,99999999999.00,99999999999.00,99999999999.00,99999999999.00,99999999999.00,99999999999.00,99999999999.00,99999999999.00,99999999999.00,99999999999.00,99999999999.00,99999999999.00,99999999999.00
COPR_IZ,Iraq,million barrels per day,1.05,1.09,1.14,1.24,1.28,0.58,0.58,1.47,1.68,1.58,1.35,0.76,1.26,1.70,1.82,1.98,2.24,1.92,2.35,2.55,2.55,2.55,2.50,2.30,2.51,2.65,2.42,2.65,2.70,2.35,2.80,2.85,2.85,2.67,2.20,1.40,2.21,2.59,2.21,2.65,3.05,2.56,2.52,2.99,2.87,3.00,2.81,1.35,1.70,2.15,2.80,2.87,2.85,1.08,2.10,2.82,2.62,2.86,2.75,1.98,2.31,2.54,2.51,1.21,1.86,1.52,1.83,1.50,1.82,2.42,2.39,2.32,2.54,2.48,1.37,0.05,0.29,0.45,0.57,1.05,1.40,1.75,1.85,1.95,2.10,2.00,2.20,2.30,1.90,1.70,2.00,1.80,2.30,2.20,1.70,1.90,1.90,1.90,1.90,1.90,1.90,1.90,2.00,1.90,2.05,1.80,1.70,1.65,1.60,1.80,1.90,1.90,1.90,2.15,2.20,2.20,2.15,2.10,2.00,2.00,1.75,2.00,2.05,2.10,2.10,2.00,2.05,1.90,2.20,2.30,2.25,2.30,2.20,2.35,2.35,2.35,2.45,2.45,2.50,2.45,2.32,2.32,2.35,2.35,2.20,2.30,2.35,2.35,2.40,2.40,2.45,2.45,2.45,2.40,2.35,2.35,2.45,2.45,2.35,2.35,2.35,2.40,2.30,2.30,2.35,2.35,2.35,2.50,2.60,2.50,2.50,2.50,2.55,2.55,2.60,2.60,2.70,2.70,2.70,2.70,2.65,2.55,2.70,2.94,2.90,2.95,3.05,3.15,3.25,3.05,3.20,3.10,3.05,3.05,3.05,3.15,3.05,3.08,3.08,3.25,2.80,2.95,2.95,2.90,3.10,3.40,3.30,3.27,3.30,3.30,3.17,3.20,3.49,3.44,3.40,3.75,3.45,3.30,3.70,3.75,3.90,4.25,4.30,4.20,4.40,4.25,4.40,4.40,4.45,4.20,4.20,4.45,4.30,4.38,4.39,4.43,4.45,4.48,99999999999.00,99999999999.00,99999999999.00,99999999999.00,99999999999.00,99999999999.00,99999999999.00,99999999999.00,99999999999.00,99999999999.00,99999999999.00,99999999999.00,99999999999.00,99999999999.00
COPR_KU,Kuwait,million barrels per day,2.01,2.00,2.03,2.03,1.95,1.98,1.99,1.99,2.00,2.00,2.00,2.10,2.21,2.21,2.21,2.12,2.10,2.10,2.08,2.02,1.97,1.97,2.02,2.01,1.99,2.00,2.02,1.78,1.81,1.83,1.83,1.86,1.88,1.92,1.90,1.92,1.92,1.97,1.99,2.05,2.05,2.10,2.12,2.12,2.12,2.16,2.17,2.16,2.17,2.10,2.07,1.98,1.96,2.00,1.99,2.01,1.94,1.92,1.91,1.91,1.85,1.80,1.85,1.86,1.88,1.89,1.91,1.91,1.93,1.93,1.94,1.97,1.95,2.01,2.26,2.35,2.24,2.06,2.06,2.06,2.06,2.16,2.16,2.26,2.30,2.30,2.35,2.35,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.45,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.60,2.60,2.60,2.60,2.60,2.55,2.52,2.52,2.52,2.55,2.55,2.55,2.55,2.55,2.50,2.45,2.45,2.42,2.42,2.42,2.42,2.42,2.44,2.50,2.50,2.50,2.52,2.55,2.55,2.60,2.60,2.60,2.60,2.60,2.60,2.60,2.60,2.60,2.45,2.45,2.30,2.30,2.30,2.30,2.30,2.30,2.30,2.30,2.30,2.30,2.30,2.30,2.20,2.20,2.20,2.20,2.20,2.20,2.30,2.30,2.30,2.30,2.30,2.30,2.30,2.30,2.40,2.50,2.50,2.50,2.50,2.55,2.55,2.55,2.55,2.55,2.60,2.60,2.59,2.59,2.59,2.58,2.58,2.58,2.56,2.56,2.60,2.60,2.60,2.60,2.60,2.60,2.60,2.60,2.60,2.60,2.60,2.60,2.60,2.60,2.60,2.60,2.60,2.60,2.60,2.60,2.60,2.60,2.60,2.52,2.45,2.45,2.50,2.60,2.60,2.60,2.50,2.50,2.50,2.50,2.50,2.50,2.45,2.40,2.45,2.50,2.50,2.27,2.50,2.52,2.52,2.52,2.53,2.54,99999999999.00,99999999999.00,99999999999.00,99999999999.00,99999999999.00,99999999999.00,99999999999.00,99999999999.00,99999999999.00,99999999999.00,99999999999.00,99999999999.00,99999999999.00,99999999999.00
